game_date,game_pk,opponent,role,outs,innings_pitched,pitches,strikes,batters_faced,strikeouts,walks,hits,home_runs,earned_runs,era_after_game,whip_after_game
2026-03-29,824215,Los Angeles Angels,先发,8,2.6666666666666665,74,36,15,4,4,3,0,4,13.5,2.63
2026-04-04,825027,Athletics,先发,17,5.666666666666667,94,58,22,9,3,3,0,0,4.32,1.56
2026-04-10,823156,Seattle Mariners,先发,1,0.3333333333333333,37,17,7,0,4,1,0,3,7.27,2.08
2026-05-12,824197,Seattle Mariners,先发,12,4.0,80,46,21,3,3,5,2,6,9.24,2.05
2026-05-18,823705,Minnesota Twins,先发,14,4.666666666666667,74,53,18,5,0,5,2,3,8.31,1.79
2026-05-25,822899,Texas Rangers,先发,18,6.0,97,57,20,2,4,0,0,0,6.17,1.5
2026-05-31,824187,Milwaukee Brewers,先发,18,6.0,110,65,23,5,2,3,1,2,5.52,1.36
2026-06-06,824184,Athletics,先发,15,5.0,92,56,24,8,3,5,0,2,5.24,1.4
2026-06-12,824102,Kansas City Royals,先发,2,0.6666666666666666,38,21,7,1,1,4,0,5,6.43,1.51
2026-06-19,824179,Cleveland Guardians,先发,18,6.0,89,57,24,11,0,6,1,3,6.15,1.44
2026-06-25,824258,Detroit Tigers,先发,18,6.0,96,63,21,10,1,2,0,0,5.36,1.32
2026-07-01,824174,Minnesota Twins,先发,4,1.3333333333333333,57,23,13,2,5,4,2,5,6.14,1.47
2026-07-07,822713,Washington Nationals,先发,11,3.6666666666666665,84,52,18,3,3,4,1,2,6.06,1.5
2026-07-21,824165,Miami Marlins,先发,18,6.0,96,56,25,8,3,4,0,1,5.59,1.47
2026-07-27,824001,Los Angeles Angels,先发,2,0.6666666666666666,33,12,7,1,4,1,0,2,5.83,1.53
2026-08-03,824160,Toronto Blue Jays,牛棚,9,3.0,34,26,9,5,0,0,0,0,5.55,1.46
2026-08-12,823187,San Francisco Giants,牛棚,9,3.0,55,34,14,3,2,3,0,0,5.29,1.47
