pitch_type,stand,pitches,zone_pct,whiff_pct,chase_pct,rv100
CH,L,28,46.42857142857143,62.5,6.666666666666667,-4.875000000000001
CH,R,1,0.0,,0.0,-3.8
CU,L,6,66.66666666666666,0.0,0.0,5.0
FF,L,311,50.482315112540185,15.384615384615385,18.181818181818183,-1.2720257234726688
FF,R,229,48.03493449781659,27.027027027027028,14.285714285714286,1.465065502183406
FS,L,40,7.5,75.0,16.216216216216218,-2.5624999999999996
FS,R,2,0.0,,0.0,-2.8
SI,L,45,46.666666666666664,11.764705882352942,12.5,-0.24444444444444452
SI,R,16,56.25,30.0,42.857142857142854,7.7875
SL,L,347,41.78674351585015,36.170212765957444,39.10891089108911,0.9792507204610952
SL,R,215,36.74418604651163,48.57142857142857,38.970588235294116,0.1055813953488373
