year,Type,Grade,Pitches,Pitch%,Velo.,xPV,xPV/100,SwStr%,Whiff%,GB%,LD%,OFFB%,IFFB%,xwOBAcon,wOBAcon,CSW%,Putaway%
2023,FF,43.1,935,43.55,150.35,-5.3,-0.567,7.59,18.64,47.26,6.85,39.73,6.16,0.36266,0.31541,26.31,15.13
2023,SL,60.6,617,28.74,135.75,4.98,0.807,19.61,41.72,45.78,3.61,42.17,8.43,0.34305,0.38,35.66,30.43
2023,CH,61.9,411,19.14,138.58,4.43,1.079,15.33,31.98,56.94,11.11,20.83,11.11,0.27635,0.24403,27.98,20.0
2023,CU,46.9,118,5.5,122.77,-1.14,-0.965,7.63,22.5,42.86,0.0,57.14,0.0,0.39464,0.34929,23.73,12.9
2023,FC,48.1,66,3.07,141.55,-0.71,-1.07,7.58,19.23,33.33,11.11,33.33,22.22,0.31907,0.09667,18.18,20.0
2024,FF,47.2,1265,45.82,152.75,-3.23,-0.255,7.91,19.05,43.39,10.58,39.15,6.88,0.35069,0.30841,27.43,18.16
2024,SL,67.0,1097,39.73,139.39,10.79,0.984,21.97,41.99,42.77,10.84,39.76,6.63,0.34558,0.34283,35.82,27.86
2024,CH,49.4,256,9.27,139.89,-0.4,-0.155,11.33,25.22,44.9,8.16,42.86,4.08,0.34829,0.30429,28.12,22.08
2024,FS,45.2,76,2.75,138.84,-1.64,-2.164,11.84,26.47,25.0,25.0,50.0,0.0,0.42549,0.30125,22.37,13.16
2024,CU,47.6,65,2.35,126.0,-0.87,-1.34,4.62,15.0,50.0,0.0,50.0,0.0,0.35934,0.837,26.15,0.0
2024,FC,,2,0.07,143.5,-0.05,,0.0,,,,,,,,0.0,
2025,FF,54.3,1196,47.5,152.68,1.93,0.161,10.45,19.9,49.12,7.96,34.07,8.85,0.34061,0.27407,26.34,17.42
2025,SL,68.6,838,33.28,138.69,10.56,1.261,22.55,45.87,45.54,6.25,40.18,8.04,0.33591,0.34187,38.78,26.04
2025,CH,60.7,319,12.67,136.36,3.27,1.026,18.5,41.55,58.7,2.17,30.43,8.7,0.28393,0.22152,33.23,33.33
2025,FS,53.0,110,4.37,137.42,0.89,0.806,19.09,48.84,33.33,11.11,22.22,33.33,0.24546,0.09667,28.18,22.73
2025,CU,47.7,55,2.18,124.98,-0.82,-1.5,5.45,23.08,50.0,16.67,33.33,0.0,0.34694,0.44333,25.45,0.0
