"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Gausman, Kevin",592332,"CHC","FF","4-Seam Fastball",0.9,10,"1149",51.4,"315","0.289","0.436","0.342",16.6,19.4,18.8,"0.275","0.444","0.335",45.5
"Misiorowski, Jacob",694819,"MIL","FF","4-Seam Fastball",1.8,22,"1269",63.9,"296","0.172","0.269","0.247",42.5,47.3,35.4,"0.156","0.244","0.22",39.5
"Sánchez, Cristopher",650911,"PHI","SI","Sinker",0.1,1,"1029",43.1,"289","0.332","0.465","0.382",12.3,15.2,20,"0.315","0.493","0.368",53.7
"Singer, Brady",663903,"CIN","SI","Sinker",-0.4,-4,"1003",48.3,"287","0.28","0.452","0.369",16.9,18.5,19,"0.28","0.445","0.358",45.5
"Abbott, Andrew",671096,"CIN","FF","4-Seam Fastball",-0.2,-2,"1003",45.3,"280","0.249","0.419","0.372",12.5,13.9,12.7,"0.297","0.505","0.404",49
"Peralta, Freddy",642547,"TB","FF","4-Seam Fastball",-0.6,-7,"1199",53,"280","0.292","0.49","0.386",21.3,18.2,16.6,"0.262","0.415","0.34",50.3
"Valdez, Framber",664285,"DET","SI","Sinker",0.2,2,"959",45.1,"273","0.313","0.429","0.368",10.5,7.7,14.9,"0.309","0.47","0.374",51.1
"Burns, Chase",695505,"CIN","FF","4-Seam Fastball",0.4,4,"1149",56.3,"270","0.241","0.388","0.338",17.1,14.8,13.1,"0.247","0.402","0.335",38.3
"Bradley, Taj",671737,"MIN","FF","4-Seam Fastball",0.4,4,"1039",46.4,"264","0.241","0.42","0.348",15.7,18.9,18.9,"0.276","0.5","0.383",55.4
"Detmers, Reid",672282,"LAA","FF","4-Seam Fastball",0,0,"1004",45.3,"260","0.235","0.427","0.32",21.9,21.2,16.7,"0.248","0.439","0.329",50.3
"Sánchez, Cristopher",650911,"PHI","CH","Changeup",1.2,11,"896",37.5,"251","0.178","0.258","0.219",46.9,39,29.4,"0.161","0.222","0.193",27.1
"Gore, MacKenzie",669022,"TEX","FF","4-Seam Fastball",1,11,"1042",45.9,"250","0.242","0.379","0.312",22.6,22,20,"0.234","0.351","0.3",40.1
"Wrobleski, Justin",680736,"LAD","FF","4-Seam Fastball",1.2,10,"876",48.9,"239","0.192","0.338","0.267",22.7,25.9,22,"0.23","0.4","0.302",41.8
"Woo, Bryan",693433,"SEA","FF","4-Seam Fastball",1.2,12,"968",47.4,"236","0.242","0.384","0.297",25.3,22.5,16.9,"0.249","0.418","0.312",44.3
"Schlittler, Cam",693645,"NYY","FF","4-Seam Fastball",1.6,17,"1011",44.2,"233","0.181","0.306","0.243",34.4,39.5,26.7,"0.178","0.315","0.239",46.5
"Burke, Sean",680732,"CWS","FF","4-Seam Fastball",1.5,12,"818",37.5,"229","0.171","0.317","0.251",26.9,35.4,22,"0.187","0.346","0.269",35.4
"McLean, Nolan",690997,"NYM","SI","Sinker",2.9,21,"733",32.5,"228","0.177","0.256","0.243",13.4,23.7,29,"0.219","0.316","0.275",36.2
"Skenes, Paul",694973,"PIT","FF","4-Seam Fastball",1.1,10,"933",41,"228","0.204","0.359","0.282",29.9,33.3,26,"0.2","0.355","0.277",47.7
"Chandler, Bubba",696149,"PIT","FF","4-Seam Fastball",0.2,1,"963",48.5,"227","0.214","0.364","0.333",22.9,19.8,15.4,"0.231","0.403","0.344",39.9
"Ryan, Joe",657746,"MIN","FF","4-Seam Fastball",0.4,4,"953",45.6,"226","0.243","0.456","0.336",26.2,25.2,18.7,"0.233","0.426","0.314",46.7
"Eovaldi, Nathan",543135,"TEX","FS","Split-Finger",1.4,10,"737",36.7,"226","0.196","0.354","0.267",33.6,28.8,26,"0.231","0.364","0.287",47.6
"Pérez, Eury",691587,"MIA","FF","4-Seam Fastball",1.2,9,"752",39.7,"225","0.188","0.335","0.298",23.4,29.8,24.6,"0.192","0.355","0.302",46
"Houser, Adrian",605288,"SF","SI","Sinker",0.3,2,"757",46.6,"220","0.288","0.455","0.365",9.3,6.8,11.2,"0.313","0.512","0.39",43.6
"Harrison, Kyle",690986,"MIL","FF","4-Seam Fastball",1,9,"928",57.4,"219","0.236","0.407","0.313",30,33.3,23.1,"0.223","0.37","0.293",42.9
"Bradish, Kyle",680694,"BAL","SI","Sinker",1,7,"731",34.7,"219","0.245","0.323","0.294",10.5,22.4,22.3,"0.229","0.352","0.298",38.8
"Imanaga, Shota",684007,"CHC","FF","4-Seam Fastball",0.3,3,"882",40.8,"218","0.244","0.468","0.323",20.1,21.1,18.2,"0.237","0.45","0.314",43.1
"Baz, Shane",669358,"BAL","CU","Curveball",-0.8,-6,"742",32.7,"218","0.296","0.422","0.328",29.7,29.4,20.8,"0.237","0.363","0.274",44.5
"Rea, Colin",607067,"CHC","FF","4-Seam Fastball",-0.2,-2,"856",42.8,"218","0.298","0.471","0.369",14.3,13.8,12.5,"0.29","0.505","0.375",43.6
"Springs, Jeffrey",605488,"ATH","FF","4-Seam Fastball",-1.9,-16,"828",44.2,"215","0.287","0.547","0.404",15.4,16.7,14,"0.265","0.493","0.374",41.2
"Nelson, Ryne",669194,"AZ","FF","4-Seam Fastball",0.3,2,"734",56.8,"214","0.23","0.434","0.322",19.8,17.8,15.4,"0.263","0.506","0.357",46.2
"Alcantara, Sandy",645261,"MIA","SI","Sinker",1.7,11,"648",26.3,"214","0.259","0.326","0.301",12.3,15.4,18.2,"0.254","0.333","0.293",37.7
"Castillo, Luis",622491,"CWS","FF","4-Seam Fastball",-0.5,-4,"852",43.9,"214","0.247","0.456","0.353",27.9,24.8,16.6,"0.244","0.415","0.33",45.9
"Cease, Dylan",656302,"TOR","FF","4-Seam Fastball",1.1,9,"826",36.8,"213","0.209","0.311","0.298",28.6,34.7,24.6,"0.189","0.282","0.285",41.3
"Gausman, Kevin",592332,"CHC","FS","Split-Finger",0.2,2,"864",38.6,"212","0.198","0.289","0.247",39.7,28.8,17.7,"0.195","0.28","0.235",23.9
