bytes,content_type,file,retrieved_at_utc,rows_excluding_header,sha256,url
846925,application/download; charset=utf-8,data/raw/statcast_imai_2026.csv,2026-08-14T03:11:15.516916+00:00,1241,1b37ea070d93270e753fafe6cbb17c4bba1e02572fdc89eb7725335f2968bf6c,https://baseballsavant.mlb.com/statcast_search/csv?all=true&hfPT=&hfAB=&hfBBT=&hfPR=&hfZ=&stadium=&hfBBL=&hfNewZones=&hfGT=R%7CPO%7CS%7C=&hfSea=&hfSit=&player_type=pitcher&hfOuts=&opponent=&pitcher_throws=&batter_stands=&hfSA=&game_date_gt=2026-03-29&game_date_lt=2026-08-12&pitchers_lookup%5B%5D=837227&team=&position=&hfRO=&home_road=&hfFlag=&metric_1=&hfInn=&min_pitches=0&min_results=0&group_by=name&sort_col=pitches&player_event_sort=h_launch_speed&sort_order=desc&min_abs=0&type=details&
29262,application/json;charset=UTF-8,data/raw/mlb_statsapi_game_log_2026.json,2026-08-14T03:11:16.408256+00:00,,71a4800e88cccca4b66f718a4614877d2f2e435a038a5e882b9d714b06bc8d74,https://statsapi.mlb.com/api/v1/people/837227/stats?stats=gameLog&group=pitching&season=2026
52283,text/html,data/raw/npb_imai_player_page.html,2026-08-14T03:11:17.032298+00:00,,6e834d7c596437de47e9c6856909a5274d52eff6a5111a03a43d1ea77439786f,https://npb.jp/bis/players/31335134.html
1482683,text/html; charset=utf-8,data/raw/savant_imai_player_page.html,2026-08-14T03:11:17.714631+00:00,,4e3cc4a58c313499c25ae87fc71e16fc51bfb97aad8bcf9774204804c256b848,https://baseballsavant.mlb.com/savant-player/tatsuya-imai-837227
502007,,data/raw/mlb_imai_player_page.html,2026-08-14T03:11:18.931582+00:00,,fb149f003ab9158b9396316238e4b68fd34c07c626fbae3986367553e986e251,https://www.mlb.com/player/tatsuya-imai-837227
361363,,data/raw/mlb_imai_adjustment_article_2026-05-31.html,2026-08-14T03:11:20.092488+00:00,,bb31fe998cf760ec90dbd4e1239aa99bd30d452752519e42ae90cf8e4f9d1adb,https://www.mlb.com/astros/news/tatsuya-imai-adjusting-to-pitching-in-major-leagues
365456,,data/raw/mlb_imai_bullpen_article_2026-07-31.html,2026-08-14T03:11:21.286912+00:00,,c4d559e960bb7b6a67208cd29b346921870395573d47cfdf1ff2063942464ff0,https://www.mlb.com/astros/news/tatsuya-imai-moved-to-astros-bullpen
105771,text/csv; charset=utf-8,data/raw/savant_expected_stats_pitchers_2026.csv,2026-08-14T03:11:21.686339+00:00,657,c16e3750d24ff1f612ee8ed16469a8bf671c43eb0c281ead78f34d23f6c7d390,https://baseballsavant.mlb.com/leaderboard/expected_statistics?type=pitcher&year=2026&position=&team=&filterType=pa&min=25&csv=true
443268,text/csv; charset=utf-8,data/raw/savant_pitch_arsenal_stats_2026.csv,2026-08-14T03:11:22.225025+00:00,3426,b5885043a07cd2c3c77f14171bf46626d0680703af397552d1a6c107da1b705a,https://baseballsavant.mlb.com/leaderboard/pitch-arsenal-stats?type=pitcher&pitchType=&year=2026&team=&min=1&csv=true
46449,text/csv; charset=utf-8,data/raw/savant_percentile_rankings_2026.csv,2026-08-14T03:11:22.543194+00:00,634,f51098ea811f9ac340f574304c25ba12abc8adbe307889b725c3c1fed885785c,https://baseballsavant.mlb.com/leaderboard/percentile-rankings?type=pitcher&year=2026&position=&team=&csv=true
107105,text/csv; charset=utf-8,data/raw/savant_pitch_movement_ff_2026.csv,2026-08-14T03:11:22.965401+00:00,523,17711d8eb4c100d30f9dde4bb0fa842a6bcac5e36bf5c79f883ffd6650e1dd04,https://baseballsavant.mlb.com/leaderboard/pitch-movement?year=2026&team=&min=50&pitch_type=FF&hand=&x=pitcher_break_x_hidden&z=pitcher_break_z_hidden&csv=true
65662,text/csv; charset=utf-8,data/raw/savant_pitch_movement_sl_2026.csv,2026-08-14T03:11:23.311307+00:00,336,5078e518c5c3a02359bd7b4b743a41de285d97ab9f2897c9d9d21927031ba0b8,https://baseballsavant.mlb.com/leaderboard/pitch-movement?year=2026&team=&min=50&pitch_type=SL&hand=&x=pitcher_break_x_hidden&z=pitcher_break_z_hidden&csv=true
2289,text/html; charset=utf-8,data/raw/npb_basement_home.html,2026-08-14T03:11:23.764995+00:00,,c0e37644b4b7bf3b073e5d1d3dc8913a14c32ca2dd0a47068dd7e864c7c9adac,https://npbbasement.com/
1822527,"text/javascript; charset=utf-8, text/javascript; charset=utf-8",data/raw/npb_basement_app.js,2026-08-14T03:11:24.813138+00:00,,52eef22afead8e193c46f852ffc7fdfdb99ed49524de77305e0c9ba7ba8e7318,https://npbbasement.com/assets/index-_q0fINED.js
1388497,"text/javascript; charset=utf-8, text/javascript; charset=utf-8",data/raw/npb_basement_2023_1g.js,2026-08-14T03:11:25.709129+00:00,,86a86bee680474311afd50d35c02d2cbadb8a68f2199f081ceca2ee2ce2f4b75,https://npbbasement.com/assets/2023_1g-kGTtae0d.js
1422936,"text/javascript; charset=utf-8, text/javascript; charset=utf-8",data/raw/npb_basement_2024_1g.js,2026-08-14T03:11:26.641269+00:00,,65af31f4ea98f0fe52907936027a8d764b5d4bfc2914490c3f58281f89880195,https://npbbasement.com/assets/2024_1g-DvSNzTh2.js
1467573,"text/javascript; charset=utf-8, text/javascript; charset=utf-8",data/raw/npb_basement_2025_1g.js,2026-08-14T03:11:28.557630+00:00,,8edef87deafac544bab6d630fbbf5f0c84a2e2709c222264489d48fc40beedcb,https://npbbasement.com/assets/2025_1g-D3_GvzA7.js
