"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","miss_distance","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"SL","2026-08-12","87.1","-2.3","5.49","Imai, Tatsuya",805811,837227,"strikeout","swinging_strike",,,,,9,"Bryce Eldridge strikes out swinging.","R","L","R","SF","HOU","S",2,,2,2,2026,"0.05","0",0.5692067142354523,1.9133521456501246,,701852,642715,2,4,"Bot",,,,,,,6.654999583275403,-126.66120416416253,-2.134358928951957,-0.9806942825201039,27.855681395534923,-31.970154754990645,3.541215551,1.787155512,,,,"86.4",2348,"6",823187,543877,664774,669397,670623,665161,666211,662139,701358,"54.47",,0,"0",1,0,0,,34,5,"Slider",1,0,1,0,0,1,1,0,"Standard","Standard",294,"-0.036","-0.219","76.1","8.1","0.946870128",,"0.219",,1,1,0.674,0.674,28,21,28,22,2,2,,,,,"3.03","-0.05","0.05",,24.174517328267807,-28.497558701173745,36.90383345907294,28.165437614786494,43.14554665946096
"SL","2026-08-12","87.6","-2.45","5.33","Imai, Tatsuya",805811,837227,,"swinging_strike",,,,,4,,"R","L","R","SF","HOU","S",,,2,1,2026,"0.07","0.03",-0.8081287114826614,2.6646883049165586,,701852,642715,2,4,"Bot",,,,,,,3.744870152455015,-127.58646339721984,-0.21658078791818258,0.06331477054192476,24.745605497388276,-32.0055797427865,3.541215551,1.787155512,,,,"87.6",2345,"6.1",823187,543877,664774,669397,670623,665161,666211,662139,701358,"54.39",,,,,,,,34,4,"Slider",1,0,1,0,0,1,1,0,"Standard","Standard",339,"-0.009","-0.078","76.5","7.2","0.523270392",,"0.078",,1,1,0.683,0.683,28,21,28,22,2,2,,,,,"2.92","-0.07","0.07",,7.252699378194192,8.32205004629324,39.34734175939727,44.35979685010861,23.761835434345304
"SL","2026-08-12","86.9","-2.36","5.49","Imai, Tatsuya",805811,837227,,"ball",,,,,13,,"R","L","R","SF","HOU","B",,,1,1,2026,"0.05","0",-0.0671129624516959,1.1116796980207422,,701852,642715,2,4,"Bot",,,,,,,5.263873307699353,-126.26246718972422,-3.8974743616579293,-0.8046988808323381,30.77489508214888,-31.45104237260056,3.541215551,1.787155512,,,,"85.2",2252,"5.7",823187,543877,664774,669397,670623,665161,666211,662139,701358,"54.78",,,,,,,,34,3,"Slider",1,0,1,0,0,1,1,0,"Standard","Standard",291,"0.005","0.036",,,,,"-0.036",,1,1,0.678,0.678,28,21,28,22,2,2,,,,,"3.08","-0.05","0.05",,,,,,
"SL","2026-08-12","86.1","-2.36","5.64","Imai, Tatsuya",805811,837227,,"ball",,,,,11,,"R","L","R","SF","HOU","B",,,0,1,2026,"0","0.11",-2.110167640249052,3.4344139736046086,,701852,642715,2,4,"Bot",,,,,,,0.5803349697349534,-125.21429781438572,1.0736539858227667,-0.1606094914979302,30.19632513334144,-31.591259656832435,3.541215551,1.787155512,,,,"84.6",2225,"5.8",823187,543877,664774,669397,670623,665161,666211,662139,701358,"54.69",,,,,,,,34,2,"Slider",1,0,1,0,0,1,1,0,"Standard","Standard",353,"0.004","0.016",,,,,"-0.016",,1,1,0.674,0.674,28,21,28,22,2,2,,,,,"3.02","0","0",,,,,,
"SL","2026-08-12","86.9","-2.24","5.48","Imai, Tatsuya",805811,837227,,"called_strike",,,,,4,,"R","L","R","SF","HOU","S",,,0,0,2026,"0.17","-0.07",-0.47348134667876113,2.8204402997778373,,701852,642715,2,4,"Bot",,,,,,,3.78711148149324,-126.73907870961696,-0.010353267830159885,1.2467089494810926,20.961868578525294,-33.12408766453802,3.541215551,1.787155512,,,,"86.8",2300,"5.7",823187,543877,664774,669397,670623,665161,666211,662139,701358,"54.83",,,,,,,,34,1,"Slider",1,0,1,0,0,1,1,0,"Standard","Standard",311,"-0.006","-0.036",,,,,"0.036",,1,1,0.68,0.68,28,21,28,22,2,2,,,,,"3.03","-0.17","0.17",,,,,,
"FF","2026-08-12","95.3","-2.41","5.24","Imai, Tatsuya",642715,837227,"single","hit_into_play",,,,,3,"Willy Adames singles on a sharp line drive to center fielder Daulton Varsho. Drew Cavanaugh to 2nd.","R","R","R","SF","HOU","X",8,"line_drive",0,1,2026,"-0.91","0.94",0.6780037128628901,2.9322416064542987,,,701852,2,4,"Bot",129.82,73.31,,,,,10.066756582073157,-138.54065666024363,-2.4662573303352144,-13.776332187324192,27.093256799618185,-19.61562644570234,3.22351542,1.626820866,271,"101.9",15,"95.8",1865,"6.3",823187,543877,664774,669397,670623,665161,666211,662139,701358,"54.17",0.654,0.679,"0.9",1,1,0,4,33,2,"4-Seam Fastball",1,0,1,0,0,1,1,0,"Infield shade","Standard",231,"0.023","0.383","71.7","7.9",,0.934,"-0.383","101.9",1,1,0.657,0.657,28,30,28,31,2,2,,,,,"1.55","0.91","0.91",,15.514448222098325,6.38923104544516,25.998983876468408,44.597940320027575,24.553260676170968
"FF","2026-08-12","95.9","-2.42","5.33","Imai, Tatsuya",642715,837227,,"foul",,,,,6,,"R","R","R","SF","HOU","S",,,0,0,2026,"-0.68","0.7",0.4418388984336017,2.4231184486397,,,701852,2,4,"Bot",,,,,,,9.00989488000406,-139.52836319193656,-3.55232767886597,-10.82876246319387,28.270192915540452,-22.335958856210166,3.22351542,1.626820866,6,"68.4",-23,"95.9",2048,"6.1",823187,543877,664774,669397,670623,665161,666211,662139,701358,"54.41",,,,,,,,33,1,"4-Seam Fastball",1,0,1,0,0,1,1,0,"Infield shade","Standard",231,"-0.003","-0.041","66.8","8.6",,,"0.041","88.0",1,1,0.66,0.66,28,30,28,31,2,2,,,,,"1.75","0.68","0.68",,22.832905011752572,-12.55219007823474,32.001819152057635,41.68361190516917,35.12983011957029
"FF","2026-08-12","95.6","-2.52","5.16","Imai, Tatsuya",808982,837227,"field_out","hit_into_play",,,,,11,"Jung Hoo Lee flies out to center fielder Daulton Varsho.","R","L","R","SF","HOU","X",8,"fly_ball",3,2,2026,"-0.9","0.88",-0.9022815699854949,2.8586722055200995,,,701852,1,4,"Bot",94.55,58.95,,,,,6.256167327333041,-139.21918495584822,-2.3016666764046887,-13.126664729769546,29.95133874735292,-20.40967940837098,3.22351542,1.626820866,366,"96.3",24,"95.5",2051,"6.1",823187,543877,664774,669397,670623,665161,666211,662139,701358,"54.42",0.24,0.335,"0",1,0,0,5,32,6,"4-Seam Fastball",1,0,1,0,0,1,1,0,"Infield shade","Standard",233,"-0.032","-0.312","70.1","7.4",,0.559,"0.312","96.3",1,1,0.692,0.692,28,27,28,28,2,2,,,,,"1.6","0.9","-0.9",,1.9357543880764554,8.58777521478746,31.043122023293108,39.17214356432248,27.484094562995338
"FF","2026-08-12","95.9","-2.62","5.16","Imai, Tatsuya",808982,837227,,"called_strike",,,,,1,,"R","L","R","SF","HOU","S",,,3,1,2026,"-0.86","0.79",-0.697909308488882,3.2895689523785756,,,701852,1,4,"Bot",,,,,,,6.978860523861876,-139.58266693956918,-1.0533005142525633,-12.686839789469467,28.18872002961763,-21.728547033791255,3.22351542,1.626820866,,,,"96.2",1989,"6.2",823187,543877,664774,669397,670623,665161,666211,662139,701358,"54.28",,,,,,,,32,5,"4-Seam Fastball",1,0,1,0,0,1,1,0,"Standard","Standard",241,"-0.009","-0.094",,,,,"0.094",,1,1,0.701,0.701,28,27,28,28,2,2,,,,,"1.67","0.86","-0.86",,,,,,
"FF","2026-08-12","95.1","-2.56","5.21","Imai, Tatsuya",808982,837227,,"ball",,,,,11,,"R","L","R","SF","HOU","B",,,2,1,2026,"-0.91","0.85",-0.7034729559628973,3.88074624151454,,,701852,1,4,"Bot",,,,,,,6.846648428608913,-138.4599282529366,0.3330665411862852,-13.161417912738708,28.278385610575558,-21.49000859489329,3.22351542,1.626820866,,,,"95.2",2065,"6.1",823187,543877,664774,669397,670623,665161,666211,662139,701358,"54.4",,,,,,,,32,4,"4-Seam Fastball",1,0,1,0,0,1,1,0,"Standard","Standard",233,"0.011","0.096",,,,,"-0.096",,1,1,0.69,0.69,28,27,28,28,2,2,,,,,"1.65","0.91","-0.91",,,,,,
